dish_id,dish_name,cuisine,common_ingredients,allergens,dietary_tags,source_restaurant_count,description,possible_substitutions,preparation_method,ingredient_variations,allergen_confidence,source
D0126,Chicken Hakka Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, chicken, garlic, spring onion","gluten, possible_soy","non-vegetarian, high-protein",34,"Chicken Hakka Noodles is a non-vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, chicken, and garlic.","wheat noodles->rice noodles, chicken->tofu or mushrooms (tofu introduces soy)",stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_hakka_noodles
D0127,Egg Bhurji,North Indian,"spices, salt, cooking oil, egg, cumin, coriander",egg,"contains-egg, non-vegetarian",34,"Egg Bhurji is a non-vegetarian North Indian dish commonly associated with egg, cumin, and coriander.",,sauteed or stir-fried,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=egg_bhurji
D0128,Khoya Kaju,Indian,"spices, salt, cooking oil, cashew",tree_nuts,vegetarian,34,Khoya Kaju is a vegetarian Indian dish commonly associated with cashew.,cashew->sunflower seed paste (introduces seeds),,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=khoya_kaju
D0129,Masala Rice,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,34,Masala Rice is a vegetarian North Indian dish commonly associated with cumin and coriander.,,pot-cooked,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=masala_rice
D0130,Paneer Chilly Dry,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",34,"Paneer Chilly Dry is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),sauteed or stir-fried,"protein variation may use paneer, tofu, or mixed vegetables, vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_chilly_dry
D0131,Veg Hyderabadi,Indian,"spices, salt, cooking oil",none_identified_from_name,vegetarian,34,Veg Hyderabadi is a vegetarian Indian dish generally seasoned with regional spices.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_hyderabadi
D0132,Chilli Garlic Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, garlic, spring onion","gluten, possible_soy",vegetarian,33,"Chilli Garlic Noodles is a vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, garlic, and spring onion.",wheat noodles->rice noodles,stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chilli_garlic_noodles
D0133,Gulab Jamun,North Indian,"spices, salt, cooking oil, sugar, cardamom, cumin, coriander","possible_dairy, possible_tree_nuts","dessert, vegetarian",33,"Gulab Jamun is a vegetarian North Indian dish commonly associated with sugar, cardamom, cumin, and coriander.",,,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=gulab_jamun
D0134,Kulcha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,33,"Kulcha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,tandoor-baked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=kulcha
D0135,Paneer Makhani,North Indian,"spices, salt, cooking oil, paneer, butter, cumin, coriander",dairy,"vegetarian, high-protein",33,"Paneer Makhani is a vegetarian North Indian dish commonly associated with paneer, butter, cumin, and coriander.","paneer->tofu (introduces soy), butter->plant-based butter (check product allergens)",simmered,"protein variation may use paneer, tofu, or mixed vegetables, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_makhani
D0136,Paneer Toofani,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",33,"Paneer Toofani is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_toofani
D0137,Peas Pulao,North Indian,"spices, salt, cooking oil, rice, vegetables, cumin, coriander",none_identified_from_name,vegetarian,33,"Peas Pulao is a vegetarian North Indian dish commonly associated with rice, vegetables, cumin, and coriander.",,pot-cooked,"vegetable, spice, and protein additions may vary",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=peas_pulao
D0138,Veg Manchurian,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,33,"Veg Manchurian is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_manchurian
D0139,Veg Sweet Corn Soup,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,33,"Veg Sweet Corn Soup is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,simmered,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_sweet_corn_soup
D0140,Chilli Chicken,Chinese,"spices, salt, cooking oil, chicken, garlic, spring onion, sauce","possible_soy, possible_gluten","non-vegetarian, high-protein",32,"Chilli Chicken is a non-vegetarian Chinese dish commonly associated with chicken, garlic, spring onion, and sauce.",chicken->tofu or mushrooms (tofu introduces soy),sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chilli_chicken
D0141,Honey Chilli Potato,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,32,"Honey Chilli Potato is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=honey_chilli_potato
D0142,Lemon Coriander Soup,Indian,"spices, salt, cooking oil",none_identified_from_name,vegetarian,32,Lemon Coriander Soup is a vegetarian Indian dish generally seasoned with regional spices.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=lemon_coriander_soup
D0143,Manchurian Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, flour, soy sauce, garlic, spring onion","gluten, soy",vegetarian,32,"Manchurian Noodles is a vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, flour, and soy sauce.",wheat noodles->rice noodles,stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=manchurian_noodles
D0144,Masala Pav,Snacks,"spices, salt, cooking oil",none_identified_from_name,vegetarian,32,Masala Pav is a vegetarian Snacks dish generally seasoned with regional spices.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=masala_pav
D0145,Paneer Do Pyaza,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",32,"Paneer Do Pyaza is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_do_pyaza
D0146,Plain Dosa,South Indian,"spices, salt, cooking oil, rice, urad dal, fenugreek, oil, curry leaves, mustard seeds",none_identified_from_name,"fermented, vegetarian",32,"Plain Dosa is a vegetarian South Indian dish commonly associated with rice, urad dal, fenugreek, curry leaves, and mustard seeds.",,fermented and griddle-cooked,batter ratio and fermentation time may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=plain_dosa
D0147,SWIG Jeera Masala,Biryani,"spices, salt, cooking oil",none_identified_from_name,vegetarian,32,SWIG Jeera Masala is a vegetarian Biryani dish generally seasoned with regional spices.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=swig_jeera_masala
D0148,Matar Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",31,"Matar Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=matar_paneer
D0149,Mutton Masala,North Indian,"spices, salt, cooking oil, mutton, cumin, coriander",none_identified_from_name,"non-vegetarian, high-protein",31,"Mutton Masala is a non-vegetarian North Indian dish commonly associated with mutton, cumin, and coriander.",mutton->young jackfruit,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mutton_masala
D0150,Onion Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,31,"Onion Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=onion_paratha
D0151,Paneer Balti,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",31,"Paneer Balti is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_balti
D0152,Egg Roll,North Indian,"spices, salt, cooking oil, egg, cumin, coriander",egg,"contains-egg, non-vegetarian",30,"Egg Roll is a non-vegetarian North Indian dish commonly associated with egg, cumin, and coriander.",,,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=egg_roll
D0153,Kadai Chicken,North Indian,"spices, salt, cooking oil, chicken, cumin, coriander",none_identified_from_name,"non-vegetarian, high-protein",30,"Kadai Chicken is a non-vegetarian North Indian dish commonly associated with chicken, cumin, and coriander.",chicken->tofu or mushrooms (tofu introduces soy),simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=kadai_chicken
D0154,Kadhai Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",30,"Kadhai Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=kadhai_paneer
D0155,Plain Palak,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,30,Plain Palak is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=plain_palak
D0156,Tawa Roti,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,30,"Tawa Roti is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=tawa_roti
D0157,Ghee Rice,Chinese,"spices, salt, cooking oil, ghee, garlic, spring onion, sauce","dairy, possible_soy, possible_gluten",vegetarian,29,"Ghee Rice is a vegetarian Chinese dish commonly associated with ghee, garlic, spring onion, and sauce.",ghee->neutral vegetable oil,pot-cooked,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=ghee_rice
D0158,Lachha Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,29,"Lachha Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=lachha_paratha
D0159,Mysore Masala Dosa,South Indian,"spices, salt, cooking oil, rice, urad dal, fenugreek, oil, curry leaves, mustard seeds",none_identified_from_name,"fermented, vegetarian",29,"Mysore Masala Dosa is a vegetarian South Indian dish commonly associated with rice, urad dal, fenugreek, curry leaves, and mustard seeds.",,fermented and griddle-cooked,batter ratio and fermentation time may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mysore_masala_dosa
D0160,Pav Bhaji,Maharashtrian,"spices, salt, cooking oil, mustard seeds, curry leaves",none_identified_from_name,vegetarian,29,Pav Bhaji is a vegetarian Maharashtrian dish commonly associated with mustard seeds and curry leaves.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=pav_bhaji
D0161,Sev Tomato,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,29,Sev Tomato is a vegetarian North Indian dish commonly associated with cumin and coriander.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=sev_tomato
D0162,Veg Schezwan Fried Rice,Indo-Chinese,"spices, salt, cooking oil, rice, vegetables, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,29,"Veg Schezwan Fried Rice is a vegetarian Indo-Chinese dish commonly associated with rice, vegetables, garlic, spring onion, and sauce.",,stir-fried,"vegetable, spice, and protein additions may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_schezwan_fried_rice
D0163,Bhel,Snacks,"spices, salt, cooking oil, chutney, crisps",possible_gluten,"street-food, vegetarian",28,Bhel is a vegetarian Snacks dish commonly associated with chutney and crisps.,,"mixed, no-cook or minimally cooked","chutneys, toppings, and seasoning may vary",medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=bhel
D0164,Chicken Fry,North Indian,"spices, salt, cooking oil, chicken, cumin, coriander",none_identified_from_name,"non-vegetarian, high-protein",28,"Chicken Fry is a non-vegetarian North Indian dish commonly associated with chicken, cumin, and coriander.",chicken->tofu or mushrooms (tofu introduces soy),,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_fry
D0165,Chicken Lollipop,North Indian,"spices, salt, cooking oil, chicken, cumin, coriander",none_identified_from_name,"non-vegetarian, high-protein",28,"Chicken Lollipop is a non-vegetarian North Indian dish commonly associated with chicken, cumin, and coriander.",chicken->tofu or mushrooms (tofu introduces soy),,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_lollipop
D0166,Manchurian Dry,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,28,"Manchurian Dry is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=manchurian_dry
D0167,Manchurian Gravy,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,28,"Manchurian Gravy is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,simmered,"vegetables, protein, and sauce blend may vary, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=manchurian_gravy
D0168,Paneer Angara,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",28,"Paneer Angara is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_angara
D0169,Paneer Roll,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",28,"Paneer Roll is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_roll
D0170,Rava Masala Dosa,South Indian,"spices, salt, cooking oil, rice, urad dal, fenugreek, oil, curry leaves, mustard seeds",none_identified_from_name,"fermented, vegetarian",28,"Rava Masala Dosa is a vegetarian South Indian dish commonly associated with rice, urad dal, fenugreek, curry leaves, and mustard seeds.",,fermented and griddle-cooked,batter ratio and fermentation time may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=rava_masala_dosa
D0171,Sweet Corn Veg Soup,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,28,Sweet Corn Veg Soup is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=sweet_corn_veg_soup
D0172,Veg Schezwan Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, garlic, spring onion","gluten, possible_soy",vegetarian,28,"Veg Schezwan Noodles is a vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, garlic, and spring onion.",wheat noodles->rice noodles,stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_schezwan_noodles
D0173,Bread Butter,North Indian,"spices, salt, cooking oil, butter, cumin, coriander",dairy,vegetarian,27,"Bread Butter is a vegetarian North Indian dish commonly associated with butter, cumin, and coriander.",butter->plant-based butter (check product allergens),,,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=bread_butter
D0174,Cheese Bhel,Snacks,"spices, salt, cooking oil, chutney, crisps, cheese","possible_gluten, dairy","street-food, vegetarian",27,"Cheese Bhel is a vegetarian Snacks dish commonly associated with chutney, crisps, and cheese.",cheese->dairy-free cheese (check product allergens),"mixed, no-cook or minimally cooked","chutneys, toppings, and seasoning may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=cheese_bhel
D0175,Aloo Jeera,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,26,Aloo Jeera is a vegetarian North Indian dish commonly associated with cumin and coriander.,,,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=aloo_jeera
D0176,Masala Chaas,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,26,Masala Chaas is a vegetarian North Indian dish commonly associated with cumin and coriander.,,simmered,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=masala_chaas
D0177,Mattar Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",26,"Mattar Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mattar_paneer
D0178,Minestrone Soup,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,26,"Minestrone Soup is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,simmered,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=minestrone_soup
D0179,Mushroom Tikka,North Indian,"spices, salt, cooking oil, ginger, garlic, cumin, coriander",none_identified_from_name,"grilled, vegetarian",26,"Mushroom Tikka is a vegetarian North Indian dish commonly associated with ginger, garlic, cumin, and coriander.",,grilled or tandoor-roasted,marinade and protein choice may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mushroom_tikka
D0180,Mutter Paneer,North Indian,"spices, salt, cooking oil, paneer, cumin, coriander",dairy,"vegetarian, high-protein",26,"Mutter Paneer is a vegetarian North Indian dish commonly associated with paneer, cumin, and coriander.",paneer->tofu (introduces soy),,"protein variation may use paneer, tofu, or mixed vegetables",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mutter_paneer
D0181,Papad,North Indian,"spices, salt, cooking oil, cumin, coriander",none_identified_from_name,vegetarian,26,Papad is a vegetarian North Indian dish commonly associated with cumin and coriander.,,roasted,,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=papad
D0182,Tandoori Paneer,North Indian,"spices, salt, cooking oil, ginger, garlic, paneer, cumin, coriander",dairy,"grilled, vegetarian, high-protein",26,"Tandoori Paneer is a vegetarian North Indian dish commonly associated with ginger, garlic, paneer, cumin, and coriander.",paneer->tofu (introduces soy),grilled or tandoor-roasted,"protein variation may use paneer, tofu, or mixed vegetables, marinade and protein choice may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=tandoori_paneer
D0183,Tomato Uttapam,South Indian,"spices, salt, cooking oil, rice, urad dal, vegetables, oil, curry leaves, mustard seeds",none_identified_from_name,"fermented, vegetarian",26,"Tomato Uttapam is a vegetarian South Indian dish commonly associated with rice, urad dal, vegetables, curry leaves, and mustard seeds.",,fermented and griddle-cooked,batter ratio and fermentation time may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=tomato_uttapam
D0184,Egg Noodles,Indo-Chinese,"spices, salt, cooking oil, noodles, vegetables, sauce, egg, garlic, spring onion","gluten, possible_soy, egg","contains-egg, non-vegetarian",25,"Egg Noodles is a non-vegetarian Indo-Chinese dish commonly associated with noodles, vegetables, sauce, egg, and garlic.",wheat noodles->rice noodles,stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=egg_noodles
D0185,Hara Bhara Kebab,North Indian,"spices, salt, cooking oil, ginger, garlic, cumin, coriander",none_identified_from_name,"grilled, vegetarian",25,"Hara Bhara Kebab is a vegetarian North Indian dish commonly associated with ginger, garlic, cumin, and coriander.",,grilled or tandoor-roasted,marinade and protein choice may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=hara_bhara_kebab
D0186,Hot And Sour Soup,Chinese,"spices, salt, cooking oil, garlic, spring onion, sauce","possible_soy, possible_gluten",vegetarian,25,"Hot And Sour Soup is a vegetarian Chinese dish commonly associated with garlic, spring onion, and sauce.",,simmered,,medium,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=hot_and_sour_soup
D0187,Veg Hyderabadi Biryani,Biryani,"spices, salt, cooking oil, basmati rice, whole spices, onion",none_identified_from_name,vegetarian,25,"Veg Hyderabadi Biryani is a vegetarian Biryani dish commonly associated with basmati rice, whole spices, and onion.",,layered and dum-cooked,"protein may vary: vegetables, chicken, or mutton",low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=veg_hyderabadi_biryani
D0188,Aloo Onion Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,24,"Aloo Onion Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=aloo_onion_paratha
D0189,Chicken Seekh Kebab,North Indian,"spices, salt, cooking oil, ginger, garlic, chicken, cumin, coriander",none_identified_from_name,"grilled, non-vegetarian, high-protein",24,"Chicken Seekh Kebab is a non-vegetarian North Indian dish commonly associated with ginger, garlic, chicken, cumin, and coriander.",chicken->tofu or mushrooms (tofu introduces soy),grilled or tandoor-roasted,marinade and protein choice may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chicken_seekh_kebab
D0190,Fish Curry,North Indian,"spices, salt, cooking oil, fish, cumin, coriander",fish,"non-vegetarian, high-protein",24,"Fish Curry is a non-vegetarian North Indian dish commonly associated with fish, cumin, and coriander.",,simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=fish_curry
D0191,Methi Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,24,"Methi Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=methi_paratha
D0192,Mushroom Manchurian,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,24,"Mushroom Manchurian is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=mushroom_manchurian
D0193,Onion Uttapam,South Indian,"spices, salt, cooking oil, rice, urad dal, vegetables, oil, curry leaves, mustard seeds",none_identified_from_name,"fermented, vegetarian",24,"Onion Uttapam is a vegetarian South Indian dish commonly associated with rice, urad dal, vegetables, curry leaves, and mustard seeds.",,fermented and griddle-cooked,batter ratio and fermentation time may vary,low,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=onion_uttapam
D0194,Paneer Kofta,North Indian,"spices, salt, cooking oil, spiced dumplings, onion, tomato, gravy, paneer, cumin, coriander","possible_dairy, possible_tree_nuts, dairy","vegetarian, high-protein",24,"Paneer Kofta is a vegetarian North Indian dish commonly associated with spiced dumplings, onion, tomato, gravy, and paneer.",paneer->tofu (introduces soy),simmered,"protein variation may use paneer, tofu, or mixed vegetables, gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paneer_kofta
D0195,Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,24,"Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=paratha
D0196,Tawa Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,24,"Tawa Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=tawa_paratha
D0197,Baby Corn Manchurian,Indo-Chinese,"spices, salt, cooking oil, vegetables, flour, soy sauce, garlic, spring onion, sauce","gluten, soy",vegetarian,23,"Baby Corn Manchurian is a vegetarian Indo-Chinese dish commonly associated with vegetables, flour, soy sauce, garlic, and spring onion.",,sauteed or stir-fried,"vegetables, protein, and sauce blend may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=baby_corn_manchurian
D0198,Chapati,North Indian,"spices, salt, cooking oil, wheat flour, cumin, coriander",gluten,vegetarian,23,"Chapati is a vegetarian North Indian dish commonly associated with wheat flour, cumin, and coriander.",wheat flour->gluten-free flour blend,griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=chapati
D0199,Cheese Kofta,Indian,"spices, salt, cooking oil, spiced dumplings, onion, tomato, gravy, cheese","possible_dairy, possible_tree_nuts, dairy",vegetarian,23,"Cheese Kofta is a vegetarian Indian dish commonly associated with spiced dumplings, onion, tomato, gravy, and cheese.",cheese->dairy-free cheese (check product allergens),simmered,"gravy base may vary: onion-tomato, dairy, or nut paste",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=cheese_kofta
D0200,Cheese Paratha,North Indian,"spices, salt, cooking oil, wheat flour, cheese, cumin, coriander","gluten, dairy",vegetarian,23,"Cheese Paratha is a vegetarian North Indian dish commonly associated with wheat flour, cheese, cumin, and coriander.","cheese->dairy-free cheese (check product allergens), wheat flour->gluten-free flour blend",griddle-cooked,flour blend and cooking fat may vary,high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=cheese_paratha
D0201,Cheese Pulao,Indian,"spices, salt, cooking oil, rice, vegetables, cheese",dairy,vegetarian,23,"Cheese Pulao is a vegetarian Indian dish commonly associated with rice, vegetables, and cheese.",cheese->dairy-free cheese (check product allergens),pot-cooked,"vegetable, spice, and protein additions may vary",high,swiggy_cleaned_sample_expanded.csv#normalized_dish_name=cheese_pulao
